Protein,Localization
ALKBH7,Mitochondria
ALKBH8,Cytosol
ALMS1,Cytosol
ALOX15,Cytosol
ALS2,Cytosol
ALS2CL,Cytosol
ALYREF,Nuclear
AMBRA1,Nuclear
AMDHD2,Cytosol
AMFR,Secretory
AMIGO2,Secretory
AMN1,Cytosol
AMOT,Nuclear
AMOTL1,Secretory
AMOTL2,Cytosol
AMPD2,Cytosol
AMPD3,Cytosol
AMZ2,Cytosol
ANAPC1,Cytosol
ANAPC10,Nuclear
ANAPC11,Cytosol
ANAPC16,Cytosol
ANAPC2,Cytosol
ANAPC4,Cytosol
ANAPC5,Cytosol
ANGEL2,Nuclear
ANGPTL4,Secretory
ANK1,Cytosol
ANK2,Cytosol
ANK3,Cytosol
ANKFY1,Cytosol
ANKHD1,Cytosol
ANKIB1,Secretory
ANKLE2,Secretory
ANKMY2,Cytosol
ANKRD10,Nuclear
ANKRD11,Nuclear
ANKRD12,Nuclear
ANKRD13A,Cytosol
ANKRD13C,Secretory
ANKRD13D,Cytosol
ANKRD16,Cytosol
ANKRD17,Cytosol
ANKRD22,Secretory
ANKRD26,Cytosol
ANKRD27,Secretory
ANKRD28,Cytosol
ANKRD39,Cytosol
ANKRD40,Cytosol
ANKRD44,Cytosol
ANKRD46,Secretory
ANKRD49,Cytosol
ANKRD50,Cytosol
ANKRD52,Cytosol
ANKRD54,Cytosol
ANKS1A,Cytosol
ANKS6,Cytosol
ANKZF1,Cytosol
ANLN,Nuclear
ANO10,Secretory
ANO6,Secretory
ANO8,Secretory
ANO9,Secretory
ANP32A,Nuclear
ANP32B,Nuclear
ANTXR1,Secretory
ANXA1,Cytosol
ANXA11,Cytosol
ANXA2,Cytosol
ANXA3,Cytosol
ANXA4,Cytosol
ANXA5,Cytosol
ANXA6,Cytosol
ANXA7,Cytosol
AP1AR,Secretory
AP1B1,Cytosol
AP1G1,Cytosol
AP1G2,Cytosol
AP1M1,Cytosol
AP1M2,Cytosol
AP1S1,Cytosol
AP1S2,Cytosol
AP2A1,Secretory
AP2A2,Secretory
AP2B1,Secretory
AP2M1,Secretory
AP2S1,Secretory
AP3B1,Cytosol
AP3B2,Cytosol
AP3D1,Cytosol
AP3M1,Cytosol
AP3M2,Cytosol
AP3S1,Cytosol
AP3S2,Cytosol
AP4B1,Cytosol
AP4E1,Cytosol
AP4M1,Cytosol
AP4S1,Cytosol
AP5B1,Cytosol
AP5M1,Cytosol
AP5S1,Cytosol
AP5Z1,Cytosol
APAF1,Cytosol
APBA1,Cytosol
APBA2,Cytosol
APBB2,Cytosol
APC,Cytosol
APCS,Cytosol
APEH,Cytosol
APEX1,Nuclear
APEX2,Cytosol
APH1A,Secretory
API5,Nuclear
APIP,Cytosol
APLF,Nuclear
APLP2,Secretory
APMAP,Secretory
APOA1,Cytosol
APOA1BP,Cytosol
APOA2,Cytosol
APOA4,Cytosol
APOB,Cytosol
APOBEC3B,Nuclear
APOC1,Secretory
APOC3,Mitochondria
APOD,Secretory
APOH,Cytosol
APOL2,Secretory
APOM,Secretory
APOO,Mitochondria
APOOL,Mitochondria
APP,Secretory
APPBP2,Cytosol
APPL1,Cytosol
APPL2,Cytosol
APRT,Cytosol
APTX,Nuclear
AQR,Nuclear
AR,Cytosol
ARAF,Cytosol
ARAP1,Cytosol
ARAP2,Cytosol
ARAP3,Cytosol
ARCN1,Cytosol
AREL1,Secretory
ARF4,Cytosol
ARF5,Cytosol
ARF6,Secretory
ARFGAP1,Cytosol
ARFGAP2,Cytosol
ARFGAP3,Cytosol
ARFGEF1,Cytosol
ARFGEF2,Cytosol
ARFIP1,Cytosol
ARFIP2,Cytosol
ARFRP1,Secretory
ARGLU1,Nuclear
ARHGAP1,Cytosol
ARHGAP10,Cytosol
ARHGAP12,Cytosol
ARHGAP17,Cytosol
ARHGAP18,Cytosol
ARHGAP21,Secretory
ARHGAP24,Cytosol
ARHGAP26,Cytosol
ARHGAP29,Cytosol
ARHGAP32,Secretory
ARHGAP35,Cytosol
ARHGAP39,Secretory
ARHGAP44,Cytosol
ARHGAP5,Cytosol
ARHGDIA,Cytosol
ARHGDIB,Cytosol
ARHGEF1,Cytosol
ARHGEF10,Cytosol
ARHGEF10L,Cytosol
ARHGEF11,Cytosol
ARHGEF12,Cytosol
ARHGEF16,Cytosol
ARHGEF17,Secretory
ARHGEF19,Cytosol
ARHGEF2,Cytosol
ARHGEF28,Cytosol
ARHGEF3,Mitochondria
ARHGEF35,Cytosol
ARHGEF37,Cytosol
ARHGEF40,Secretory
ARHGEF5,Cytosol
ARHGEF7,Cytosol
ARID1A,Nuclear
ARID1B,Nuclear
ARID2,Nuclear
ARID3A,Nuclear
ARID4A,Nuclear
ARID4B,Nuclear
ARID5B,Secretory
ARIH1,Cytosol
ARIH2,Cytosol
ARL1,Secretory
ARL13B,Secretory
ARL14EP,Cytosol
ARL15,Secretory
ARL2,Cytosol
ARL2BP,Cytosol
ARL3,Cytosol
ARL4C,Secretory
ARL5A,Secretory
ARL6,Cytosol
ARL6IP4,Nuclear
ARL6IP5,Secretory
ARL6IP6,Nuclear
ARL8A,Secretory
ARL8B,Secretory
ARMC1,Mitochondria
ARMC10,Mitochondria
ARMC6,Cytosol
ARMC7,Cytosol
ARMC8,Cytosol
ARMC9,Cytosol
ARMCX1,Mitochondria
ARMCX2,Mitochondria
ARMCX3,Mitochondria
ARMCX5,Cytosol
ARMCX6,Mitochondria
ARNT,Nuclear
ARNT2,Nuclear
ARPC1A,Cytosol
ARPC1B,Cytosol
ARPC2,Cytosol
ARPC3,Cytosol
ARPC5,Cytosol
ARPC5L,Cytosol
ARPP19,Cytosol
ARR3,Cytosol
ARRB1,Cytosol
ARRB2,Cytosol
ARSA,Nuclear
ARSD,Secretory
ARV1,Secretory
ARVCF,Secretory
AS3MT,Cytosol
ASAH1,Secretory
ASAP1,Cytosol
ASAP2,Cytosol
ASAP3,Cytosol
ASB1,Cytosol
ASB13,Cytosol
ASB6,Cytosol
ASB7,Nuclear
ASB9,Cytosol
ASCC1,Cytosol
ASCC2,Cytosol
ASCC3,Cytosol
ASF1A,Nuclear
ASF1B,Nuclear
ASH1L,Nuclear
ASH2L,Nuclear
ASL,Cytosol
ASMTL,Cytosol
ASNA1,Cytosol
ASNS,Cytosol
ASNSD1,Cytosol
ASPH,Secretory
ASPHD2,Nuclear
ASPM,Secretory
ASPSCR1,Cytosol
ASRGL1,Cytosol
ASS1,Cytosol
ASTN2,Secretory
ASUN,Nuclear
ASXL2,Nuclear
ATAD1,Mitochondria
ATAD2,Nuclear
ATAD2B,Nuclear
ATAD3A,Mitochondria
ATAD3B,Mitochondria
ATAT1,Cytosol
ATE1,Cytosol
ATF1,Nuclear
ATF2,Nuclear
ATF6,Secretory
ATF6B,Secretory
ATF7,Nuclear
ATF7IP,Nuclear
ATG13,Cytosol
ATG14,Cytosol
ATG16L1,Cytosol
ATG2A,Cytosol
ATG2B,Cytosol
ATG3,Cytosol
ATG4A,Cytosol
ATG4B,Cytosol
ATG4C,Cytosol
ATG5,Cytosol
ATG7,Cytosol
ATG9A,Secretory
ATHL1,Cytosol
ATIC,Cytosol
ATL1,Secretory
ATL2,Secretory
ATL3,Secretory
ATM,Nuclear
ATN1,Nuclear
ATOX1,Cytosol
ATP11A,Secretory
ATP11B,Secretory
ATP11C,Secretory
ATP13A1,Secretory
ATP13A2,Secretory
ATP13A3,Secretory
ATP1A1,Secretory
ATP1A2,Secretory
ATP1B1,Secretory
ATP1B3,Secretory
ATP2A2,Secretory
ATP2A3,Secretory
ATP2B1,Secretory
ATP2B4,Secretory
ATP2C1,Secretory
ATP2C2,Secretory
ATP5A1,Mitochondria
ATP5B,Mitochondria
ATP5C1,Mitochondria
ATP5D,Mitochondria
ATP5F1,Mitochondria
ATP5H,Mitochondria
ATP5I,Mitochondria
ATP5J,Mitochondria
ATP5L,Mitochondria
ATP5O,Mitochondria
ATP5S,Mitochondria
ATP5SL,Mitochondria
ATP6AP1,Secretory
ATP6AP2,Secretory
ATP6V0A1,Secretory
ATP6V0A4,Secretory
ATP6V0D1,Secretory
ATP6V1A,Cytosol
ATP6V1B1,Cytosol
ATP6V1B2,Cytosol
ATP6V1C1,Cytosol
ATP6V1D,Cytosol
ATP6V1E1,Cytosol
ATP6V1F,Secretory
ATP6V1G1,Cytosol
ATP6V1H,Cytosol
ATP7A,Secretory
ATP7B,Secretory
ATP8A1,Secretory
ATP8B1,Secretory
ATP8B2,Secretory
ATP9A,Secretory
ATP9B,Secretory
ATPAF1,Mitochondria
ATPAF2,Mitochondria
ATPIF1,Nuclear
ATR,Nuclear
ATRIP,Nuclear
ATRN,Secretory
ATRX,Nuclear
ATXN1,Nuclear
ATXN10,Cytosol
ATXN1L,Nuclear
ATXN2,Cytosol
ATXN2L,Cytosol
ATXN3,Cytosol
ATXN7,Cytosol
ATXN7L3,Nuclear
ATXN7L3B,Cytosol
AUP1,Secretory
AURKA,Cytosol
AURKAIP1,Secretory
AURKB,Nuclear
AVEN,Cytosol
AVL9,Cytosol
AXIN1,Cytosol
AZGP1,Cytosol
AZI2,Cytosol
B2M,Secretory
B3GALNT1,Secretory
B3GALNT2,Secretory
B3GALT6,Secretory
B3GALTL,Secretory
B3GAT3,Secretory
B3GNT1,Secretory
B3GNT2,Secretory
B3GNT9,Secretory
B3GNTL1,Cytosol
B4GALNT1,Secretory
B4GALT1,Secretory
B4GALT3,Secretory
B4GALT4,Secretory
B4GALT7,Secretory
BABAM1,Cytosol
BACE2,Secretory
BACH1,Cytosol
BAG1,Cytosol
BAG3,Cytosol
BAG4,Cytosol
BAG5,Cytosol
BAG6,Cytosol
BAHD1,Nuclear
BAIAP2,Secretory
BAIAP2L1,Cytosol
BAK1,Mitochondria
BANP,Nuclear
BAP1,Nuclear
BARD1,Nuclear
BASP1,Secretory
BAX,Cytosol
BAZ1A,Nuclear
BAZ1B,Nuclear
BAZ2A,Nuclear
BAZ2B,Nuclear
BBC3,Secretory
BBS2,Cytosol
BBS4,Nuclear
BBS9,Cytosol
BBX,Nuclear
BCAM,Secretory
BCAP29,Secretory
BCAP31,Secretory
BCAR1,Cytosol
BCAR3,Cytosol
BCAS1,Cytosol
BCAS2,Nuclear
BCAS3,Cytosol
BCAS4,Cytosol
BCAT2,Mitochondria
BCCIP,Nuclear
BCDIN3D,Cytosol
BCKDHB,Mitochondria
BCKDK,Mitochondria
BCL10,Cytosol
BCL11B,Nuclear
BCL2L13,Mitochondria
BCL3,Cytosol
BCL7A,Nuclear
BCL7B,Nuclear
BCL9,Nuclear
BCL9L,Nuclear
BCLAF1,Nuclear
BCOR,Nuclear
BCORL1,Nuclear
BCR,Cytosol
BCS1L,Mitochondria
BDH1,Mitochondria
BDH2,Cytosol
BDP1,Nuclear
BECN1,Cytosol
BEND3,Nuclear
BET1,Secretory
BET1L,Secretory
BICD1,Cytosol
BICD2,Cytosol
BID,Cytosol
BIN1,Cytosol
BIN3,Cytosol
BIRC2,Cytosol
BIRC5,Nuclear
BIRC6,Cytosol
BLM,Nuclear
BLMH,Cytosol
BLOC1S1,Secretory
BLOC1S2,Cytosol
BLOC1S3,Cytosol
BLOC1S4,Cytosol
BLOC1S5,Cytosol
BLOC1S6,Cytosol
BLVRA,Cytosol
BLVRB,Cytosol
BLZF1,Secretory
BMP1,Secretory
BMPR1A,Secretory
BMPR2,Secretory
BMS1,Nuclear
BNIP1,Secretory
BNIP2,Cytosol
BNIP3,Secretory
BNIP3L,Mitochondria
BOD1,Cytosol
BOD1L1,Nuclear
BOLA1,Cytosol
BOP1,Nuclear
BPGM,Cytosol
BPHL,Mitochondria
BPI,Nuclear
BPIFB1,Secretory
BPNT1,Cytosol
BPTF,Nuclear
BRAF,Cytosol
BRAP,Cytosol
BRAT1,Cytosol
BRCA1,Nuclear
BRCC3,Cytosol
BRD1,Nuclear
BRD2,Nuclear
BRD3,Nuclear
BRD4,Nuclear
BRD7,Nuclear
BRD8,Nuclear
BRD9,Nuclear
BRE,Cytosol
BRF1,Nuclear
BRI3BP,Secretory
BRIX1,Nuclear
BRK1,Cytosol
BRMS1,Nuclear
BRMS1L,Nuclear
BROX,Cytosol
BRPF1,Nuclear
BRPF3,Nuclear
BRWD1,Nuclear
BSDC1,Cytosol
BSG,Secretory
BSPRY,Secretory
BST2,Secretory
BTAF1,Nuclear
BTBD10,Cytosol
BTBD2,Nuclear
BTBD7,Cytosol
BTBD9,Secretory
BTF3,Cytosol
BTF3L4,Cytosol
BTG3,Nuclear
BTN2A1,Secretory
BUB1,Cytosol
BUB1B,Cytosol
BUB3,Nuclear
BUD13,Nuclear
BUD31,Nuclear
BYSL,Nuclear
BZW1,Cytosol
BZW2,Cytosol
C10orf12,Nuclear
C10orf35,Secretory
C10orf76,Cytosol
C10orf88,Cytosol
C11orf30,Nuclear
C11orf31,Nuclear
C11orf48,Nuclear
C11orf54,Cytosol
C11orf57,Nuclear
C11orf58,Nuclear
C11orf68,Cytosol
C11orf73,Cytosol
C11orf74,Cytosol
C11orf84,Nuclear
C12orf10,Cytosol
C12orf29,Cytosol
C12orf4,Cytosol
C12orf43,Nuclear
C12orf49,Secretory
C12orf5,Cytosol
C12orf57,Cytosol
C12orf65,Secretory
C12orf66,Cytosol
C12orf73,Mitochondria
C12orf75,Secretory
C14orf1,Secretory
C14orf119,Cytosol
C14orf142,Cytosol
C14orf166,Nuclear
C14orf2,Mitochondria
C15orf39,Nuclear
C15orf40,Cytosol
C15orf41,Cytosol
C15orf48,Secretory
C15orf52,Nuclear
C15orf57,Cytosol
C16orf13,Cytosol
C16orf45,Secretory
C16orf58,Secretory
C16orf62,Cytosol
C16orf70,Cytosol
C16orf80,Nuclear
C16orf87,Nuclear
C16orf91,Mitochondria
C17orf49,Nuclear
C17orf59,Secretory
C17orf62,Secretory
C17orf70,Cytosol
C17orf75,Cytosol
C17orf80,Mitochondria
C17orf85,Nuclear
C17orf97,Nuclear
C18orf25,Nuclear
C18orf32,Secretory
C18orf8,Cytosol
C19orf10,Nuclear
C19orf25,Secretory
C19orf43,Nuclear
C19orf47,Nuclear
C19orf52,Mitochondria
C19orf53,Nuclear
C19orf54,Cytosol
C19orf66,Cytosol
C19orf70,Mitochondria
C1GALT1,Secretory
C1GALT1C1,Secretory
C1orf106,Cytosol
C1orf109,Cytosol
C1orf116,Cytosol
C1orf122,Cytosol
C1orf123,Cytosol
C1orf131,Nuclear
C1orf174,Nuclear
C1orf198,Cytosol
C1orf21,Secretory
C1orf226,Mitochondria
C1orf27,Secretory
C1orf35,Nuclear
C1orf43,Secretory
C1orf50,Cytosol
C1orf52,Nuclear
C1QB,Cytosol
C1QBP,Mitochondria
C1QTNF6,Secretory
C1R,Cytosol
C1S,Cytosol
C20orf24,Secretory
C20orf27,Cytosol
C21orf91,Cytosol
C2CD2,Secretory
C2CD2L,Secretory
C2CD3,Secretory
C2CD5,Cytosol
C2orf43,Secretory
C2orf44,Cytosol
C2orf47,Mitochondria
C2orf49,Nuclear
C2orf69,Cytosol
C2orf76,Cytosol
C3,Cytosol
C3orf17,Nuclear
C3orf33,Mitochondria
C3orf38,Cytosol
C3orf58,Secretory
C4BPA,Cytosol
C4BPB,Cytosol
C4orf27,Nuclear
C4orf3,Secretory
C4orf32,Secretory
C4orf33,Cytosol
C5,Cytosol
C5orf15,Secretory
C5orf22,Nuclear
C5orf24,Nuclear
C5orf30,Cytosol
C5orf51,Cytosol
C6,Cytosol
C6orf106,Cytosol
C6orf120,Secretory
C6orf203,Mitochondria
C6orf211,Cytosol
C6orf47,Secretory
C6orf89,Secretory
C7,Cytosol
C7orf25,Cytosol
C7orf26,Nuclear
C7orf50,Nuclear
C7orf55,Mitochondria
C7orf60,Cytosol
C8A,Cytosol
C8orf33,Nuclear
C8orf37,Cytosol
C8orf59,Nuclear
C8orf82,Mitochondria
C9,Cytosol
C9orf114,Nuclear
C9orf142,Cytosol
C9orf40,Cytosol
C9orf41,Nuclear
C9orf64,Cytosol
C9orf72,Cytosol
C9orf78,Nuclear
C9orf89,Mitochondria
CA12,Secretory
CA2,Cytosol
CA8,Cytosol
CAAP1,Nuclear
CAB39,Cytosol
CAB39L,Cytosol
CABIN1,Nuclear
CACHD1,Secretory
CACNA2D2,Secretory
CACNB3,Cytosol
CACTIN,Nuclear
CACUL1,Nuclear
CACYBP,Cytosol
CAD,Cytosol
CADM1,Secretory
CADM4,Secretory
CADPS2,Cytosol
CALCOCO1,Cytosol
CALCOCO2,Cytosol
CALHM2,Secretory
CALML3,Cytosol
CALML5,Cytosol
CALR,Nuclear
CALU,Nuclear
CAMK1,Cytosol
CAMK1D,Cytosol
CAMK2D,Cytosol
CAMK2G,Cytosol
CAMKK1,Cytosol
CAMKK2,Cytosol
CAMKMT,Cytosol
CAMLG,Secretory
CAMSAP1,Cytosol
CAMSAP2,Cytosol
CAMSAP3,Cytosol
CAND1,Cytosol
CAND2,Cytosol
CANT1,Secretory
CANX,Secretory
CAP1,Cytosol
CAP2,Cytosol
CAPG,Cytosol
CAPN1,Cytosol
CAPN13,Cytosol
CAPN15,Cytosol
CAPN2,Cytosol
CAPN5,Secretory
CAPN7,Cytosol
CAPNS1,Cytosol
CAPRIN1,Nuclear
CAPS,Cytosol
CAPZA1,Cytosol
CAPZA2,Cytosol
CAPZB,Cytosol
CARD10,Cytosol
CARD14,Cytosol
CARD8,Cytosol
CARHSP1,Cytosol
CARKD,Cytosol
CARM1,Cytosol
CARS,Cytosol
CARS2,Mitochondria
CASC3,Nuclear
CASC4,Secretory
CASD1,Secretory
CASKIN1,Cytosol
CASKIN2,Cytosol
CASP2,Cytosol
CASP6,Cytosol
CASP7,Cytosol
CASP8,Cytosol
CASP9,Cytosol
CAST,Cytosol
CASZ1,Nuclear
CAT,Secretory
CAV1,Secretory
CAV2,Secretory
CBFA2T2,Nuclear
CBFB,Cytosol
CBL,Cytosol
CBLB,Cytosol
CBLL1,Nuclear
CBR1,Cytosol
CBR3,Cytosol
CBR4,Mitochondria
CBS,Cytosol
CBX1,Nuclear
CBX3,Nuclear
CBX4,Nuclear
CBX5,Nuclear
CBX6,Nuclear
CBX7,Nuclear
CBX8,Nuclear
CBY1,Cytosol
CC2D1A,Cytosol
CC2D1B,Cytosol
CC2D2A,Secretory
CCAR1,Nuclear
CCAR2,Nuclear
CCBL1,Cytosol
CCBL2,Cytosol
CCDC101,Cytosol
CCDC102A,Cytosol
CCDC104,Cytosol
CCDC106,Nuclear
CCDC109B,Mitochondria
CCDC115,Secretory
CCDC117,Nuclear
CCDC12,Nuclear
CCDC124,Cytosol
CCDC126,Secretory
CCDC127,Mitochondria
CCDC130,Nuclear
CCDC132,Cytosol
CCDC134,Secretory
CCDC137,Nuclear
CCDC14,Secretory
CCDC167,Secretory
CCDC170,Cytosol
CCDC174,Nuclear
CCDC22,Cytosol
CCDC25,Cytosol
CCDC28A,Cytosol
CCDC43,Cytosol
CCDC47,Secretory
CCDC50,Cytosol
CCDC51,Mitochondria
CCDC53,Cytosol
CCDC58,Nuclear
CCDC59,Nuclear
CCDC6,Cytosol
CCDC64B,Secretory
CCDC69,Nuclear
CCDC71L,Nuclear
CCDC77,Secretory
CCDC82,Nuclear
CCDC84,Nuclear
CCDC85B,Cytosol
CCDC85C,Cytosol
CCDC86,Nuclear
CCDC88C,Cytosol
CCDC90B,Mitochondria
CCDC91,Cytosol
CCDC92,Cytosol
CCDC93,Cytosol
CCDC94,Nuclear
CCDC97,Cytosol
CCHCR1,Cytosol
CCM2,Cytosol
CCNA2,Cytosol
CCNB1,Cytosol
CCNC,Nuclear
CCNDBP1,Cytosol
CCNE2,Nuclear
CCNH,Nuclear
CCNK,Nuclear
CCNL1,Nuclear
CCNT1,Nuclear
CCNT2,Nuclear
CCNY,Secretory
CCNYL1,Secretory
CCP110,Cytosol
CCPG1,Secretory
CCRN4L,Mitochondria
CCS,Cytosol
CCT2,Cytosol
CCT3,Cytosol
CCT4,Cytosol
CCT5,Cytosol
CCT6A,Cytosol
CCT6B,Cytosol
CCT7,Cytosol
CCT8,Cytosol
CD109,Secretory
CD151,Secretory
CD276,Secretory
CD2AP,Cytosol
CD2BP2,Nuclear
CD320,Secretory
CD36,Secretory
CD3EAP,Nuclear
CD44,Secretory
CD46,Secretory
CD47,Secretory
CD55,Secretory
CD58,Secretory
CD59,Secretory
CD63,Secretory
CD81,Secretory
CD9,Secretory
CD97,Secretory
CD99,Secretory
CD99L2,Secretory
CDAN1,Cytosol
CDC123,Cytosol
CDC16,Cytosol
CDC20,Cytosol
CDC26,Cytosol
CDC27,Nuclear
CDC34,Cytosol
CDC37,Cytosol
CDC37L1,Cytosol
CDC40,Nuclear
CDC42,Cytosol
CDC42BPA,Cytosol
CDC42BPB,Cytosol
CDC42BPG,Cytosol
CDC42EP1,Secretory
CDC42EP2,Cytosol
CDC42EP4,Cytosol
CDC42EP5,Cytosol
CDC45,Nuclear
CDC5L,Nuclear
CDC7,Nuclear
CDC73,Nuclear
CDCA2,Nuclear
CDCA3,Secretory
CDCA5,Nuclear
CDCA8,Nuclear
CDH1,Secretory
CDH3,Secretory
CDIPT,Secretory
CDK1,Cytosol
CDK11A,Nuclear
CDK11B,Nuclear
CDK12,Nuclear
CDK13,Nuclear
CDK16,Cytosol
CDK18,Cytosol
CDK19,Nuclear
CDK2,Cytosol
CDK2AP1,Nuclear
CDK4,Cytosol
CDK5,Cytosol
CDK5RAP1,Mitochondria
